snp-dists 0.6.3,ISLHD_2017_10_S81,ISLHD_2017_11_S82,ISLHD_2017_12_S83,ISLHD_2017_13_S84,ISLHD_2017_14_S85,ISLHD_2017_15_S86,ISLHD_2017_16_S87,ISLHD_2017_17_S88,ISLHD_2017_18_S89,ISLHD_2017_2_S116,ISLHD_2017_3_S117,ISLHD_2017_4_S118,ISLHD_2017_5_S77,ISLHD_2017_6_S119,ISLHD_2017_7_S78,ISLHD_2017_8_S79,ISLHD_2017_9_S80,ISLHD_2018_10_S99,ISLHD_2018_11_S100,ISLHD_2018_12_S101,ISLHD_2018_13_S102,ISLHD_2018_14_S103,ISLHD_2018_15_S104,ISLHD_2018_16_S105,ISLHD_2018_17_S106,ISLHD_2018_1_S90,ISLHD_2018_2_S91,ISLHD_2018_3_S92,ISLHD_2018_4_S93,ISLHD_2018_5_S94,ISLHD_2018_6_S95,ISLHD_2018_7_S96,ISLHD_2018_8_S97,ISLHD_2018_9_S98,ISLHD_2019_01,ISLHD_2019_02,ISLHD_2019_03,ISLHD_2019_04,ISLHD_2019_05,ISLHD_2019_06,ISLHD_2019_07,ISLHD_2019_08,ISLHD_2019_09,ISLHD_2019_10,ISLHD_2019_11,ISLHD_2019_12,ISLHD_2019_13,ISLHD_2019_14,ISLHD_2019_15,ISLHD_2019_16,ISLHD_2019_17,ISLHD_2019_18,ISLHD_2019_19,ISLHD_2019_20,ISLHD_2019_21,ISLHD_2019_22,ISLHD_2019_23,ISLHD_2019_24,ISLHD_2019_25,ISLHD_2019_27,ISLHD_2019_28,ISLHD_2019_29,ISLHD_2019_30,SG19_084_Sal,SG19_116.05_E.coli,SG19_116_Sal,SG19_171_Sal,SG19_182_Sal,SG19_233_Sal,SG19_238_Sal,SG19_269_Sal,SG19_284_Sal,SG19_288_Sal,SG19_292_Sal,SG19_298_Sal,SG19_327_Sal,SG19_334_Sal,SG19_380_Sal,SG19_397_Sal,SG19_400_Sal,SIML_2017_01,SIML_2017_02,SIML_2017_03,SIML_2017_04,SIML_2017_05,SIML_2017_06,SIML_2017_07,SIML_2017_08,SIML_2017_09,SIML_2017_10,SIML_2017_11,SIML_2017_13,SIML_2017_14,SIML_2017_15,SIML_2017_16,SIML_2017_18,SIML_2017_19,SIML_2017_21,SIML_2017_22,SIML_2017_23,SIML_2017_24,SIML_2019_02,SIML_2019_03,SIML_2019_04,SIML_2019_05,SIML_2019_06,SIML_2019_07,SIML_2019_08,SIML_2019_09,SIML_2019_10,SIML_2019_11,SIML_2019_12,SIML_2019_13,SIML_2019_14,SIML_2019_15,Seagull_18_100_1_S16,Seagull_18_100_2_S17,Seagull_18_117_1_S21,Seagull_18_117_2_S22,Seagull_18_117_3_S23,Seagull_18_124_1_S26,Seagull_18_132_1_S29,Seagull_18_132_2_S30,Seagull_18_154_S34,Seagull_18_163_1_S37,Seagull_18_163_2_S38,Seagull_18_165_S107,Seagull_18_172_S40,Seagull_18_190_1_S42,Seagull_18_190_2_S43,Seagull_18_206_S47,Seagull_18_220_S109,Seagull_18_240_1_S58,Seagull_18_240_2_S59,Seagull_18_255_S68,Seagull_18_89_S8,Seagull_18_90_1_S9,Seagull_18_90_2_S10,Seagull_18_96_1_S14,Seagull_18_96_2_S15,W_1_B11,W_1_D11,W_1_F11,W_1_G11,W_1_H11
ISLHD_2019_19,28615,31058,30936,30932,30910,30979,31057,30932,31056,30905,31071,18527,30935,30439,31032,11608,31106,31049,31039,29215,28617,30914,31088,31111,29214,31118,31004,31056,30975,30859,31000,31036,30818,31111,30439,31119,30928,30438,30432,31102,18971,30832,29371,30896,29213,29362,29362,31100,31117,29213,29360,30932,0,30904,31056,11627,30918,31123,31122,30544,31071,30992,30550,30543,31253,31253,31137,31150,31253,31126,18530,30444,30548,29004,29380,28608,31256,31052,29003,31052,30937,30433,31118,30825,31074,31105,30979,18973,31029,31029,29117,29360,28536,30972,30938,31108,31107,17403,31120,31038,29408,30912,98356,30977,31051,30974,19185,31082,30979,30979,31189,31057,31071,30544,30932,31081,31081,31322,31322,31322,11059,31130,31130,30806,31323,31323,31323,31323,31322,31322,31322,31322,31323,31323,31322,30805,31322,31322,30807,30807,31257,29370,29369,31003,29212
ISLHD_2019_20,26712,21714,23073,23069,72,22662,21715,23069,21716,29,21728,31120,23074,23867,21293,30839,21761,21707,21698,26221,26716,23050,21745,21770,26220,21770,21267,21716,22659,22066,22696,21695,21714,21766,23867,21771,23065,23809,23860,21761,30805,21728,26313,22162,26219,26306,26306,21761,21776,26219,26304,23069,30904,0,21714,30854,23059,22499,22498,23753,21728,21253,23761,23752,22645,22645,21797,22883,22645,21781,30747,23815,23757,26329,26324,26707,22648,21710,26328,21710,22619,23859,21772,21725,21731,21762,22663,30807,21288,21288,25902,26304,26798,22656,22620,21763,21762,30924,21774,21697,26197,146,98205,22661,21709,22153,30770,21739,22665,22665,21814,22747,21728,23753,23069,21738,21738,21987,21987,21987,30822,24135,24135,22993,21988,21988,21988,21988,21987,21987,21987,21987,21988,21988,21987,22992,21987,21987,23003,23003,23909,26312,26311,22241,26218
ISLHD_2019_21,26008,46,22545,22541,21718,22246,45,22541,200,21715,300,31294,22544,23752,21679,31092,301,37,181,25735,26012,22522,292,306,25734,314,21647,47,22244,21062,22027,180,11959,306,23752,315,22547,23703,23745,297,31074,11973,25940,20991,25733,25923,25933,297,312,25733,25931,22541,31056,21714,0,31117,22532,21728,21727,22359,300,21634,22367,22358,22604,22604,333,21929,22604,321,31065,23709,22363,25884,25953,26003,22607,40,25883,40,22205,23746,316,11968,303,300,22248,31076,21676,21676,25811,25921,26380,22241,22206,303,302,31175,318,180,25556,21723,98380,22246,39,21152,31079,313,22250,22250,6990,22332,300,22359,22541,310,310,530,530,530,31083,23744,23744,22676,531,531,531,531,530,530,530,530,531,531,530,22675,530,530,22708,22708,23754,25939,25938,21311,25732
ISLHD_2019_22,28486,31119,30949,30945,30860,31106,31118,30945,31116,30855,31127,18014,30948,30330,31009,131,31162,31110,31098,29251,28488,30928,31146,31167,29250,31174,30988,31117,31101,30861,30992,31095,30879,31167,30330,31175,30941,30323,30323,31158,19070,30893,29524,30873,29249,29521,29519,31156,31173,29249,29519,30945,11627,30854,31117,0,30932,30974,30973,30488,31127,30976,30494,30487,31336,31336,31193,31267,31336,31182,18758,30327,30493,28932,29539,28479,31339,31113,28931,31113,31063,30322,31174,30886,31130,31161,31105,19072,31006,31006,29192,29519,28465,31098,31066,31164,31163,17634,31176,31097,29618,30863,98215,31103,31112,31065,19119,31138,31107,31107,31212,31183,31127,30488,30945,31137,31137,31376,31376,31376,5021,31192,31192,30898,31377,31377,31377,31377,31376,31376,31376,31376,31377,31377,31376,30897,31376,31376,30893,30893,31425,29523,29524,31034,29248
ISLHD_2019_23,26207,22534,185,181,23065,22769,22533,181,22532,23060,22544,31427,186,23837,22814,30909,22583,22525,22516,25471,26211,162,22571,22588,25470,22593,22784,22532,22765,22530,22924,22513,22454,22588,23837,22594,191,23800,23830,22579,30927,22468,25674,22700,25469,25657,25667,22579,22594,25469,25665,181,30918,23059,22532,30932,0,22896,22895,23870,22544,22771,23878,23869,23027,23027,22615,22993,23027,22603,30822,23806,23876,26094,25688,26202,23030,22528,26093,22528,22721,23831,22595,22463,22547,22582,22769,30929,22809,22809,25554,25655,26499,22762,22722,22585,22584,31089,22597,22515,25725,23070,98306,22767,22527,23104,30746,22557,22771,22771,22654,22853,22544,23870,181,22554,22554,22807,22807,22807,30939,24090,24090,23250,22808,22808,22808,22808,22807,22807,22807,22807,22808,22808,22807,23249,22807,22807,23268,23268,24148,25673,25672,22551,25468
ISLHD_2019_24,26416,21730,22913,22909,22505,22540,21729,22909,21726,22500,21745,31349,22912,23811,22200,30962,21773,21723,21710,25829,26418,22890,21758,21780,25828,21790,22166,21730,22536,22155,22757,21707,21820,21778,23811,21791,22905,23776,23804,21771,31022,21834,26097,22170,25827,26090,26090,21771,21786,25827,26088,22909,31123,22499,21728,30974,22896,0,1,22935,21745,22157,22941,22934,22465,22465,21809,22310,22465,21793,30885,23782,22941,26094,26111,26409,22468,21725,26093,21725,22491,23805,21792,21829,21748,21774,22540,31024,22197,22197,25884,26088,26606,22533,22492,21775,21774,31232,21794,21709,25933,22506,98160,22536,21725,22152,31136,21756,22542,22542,21913,22624,21745,22935,22909,21755,21755,22000,22000,22000,30986,23747,23747,22598,22001,22001,22001,22001,22000,22000,22000,22000,22001,22001,22000,22597,22000,22000,22584,22584,23618,26096,26095,22163,25826
ISLHD_2019_25,26415,21729,22912,22908,22504,22539,21728,22908,21725,22499,21744,31348,22911,23810,22199,30961,21772,21722,21709,25828,26417,22889,21757,21779,25827,21789,22165,21729,22535,22154,22756,21706,21819,21777,23810,21790,22904,23775,23803,21770,31021,21833,26096,22169,25826,26089,26089,21770,21785,25826,26087,22908,31122,22498,21727,30973,22895,1,0,22934,21744,22156,22940,22933,22464,22464,21808,22309,22464,21792,30884,23781,22940,26093,26110,26408,22467,21724,26092,21724,22490,23804,21791,21828,21747,21773,22539,31023,22196,22196,25883,26087,26605,22532,22491,21774,21773,31231,21793,21708,25932,22505,98159,22535,21724,22151,31135,21755,22541,22541,21912,22623,21744,22934,22908,21754,21754,21999,21999,21999,30985,23746,23746,22597,22000,22000,22000,22000,21999,21999,21999,21999,22000,22000,21999,22596,21999,21999,22583,22583,23617,26095,26094,22162,25825
ISLHD_2019_27,26015,22359,23883,23879,23759,23534,22358,23879,22359,23754,22370,30812,23884,22809,23482,30476,22407,22352,22342,25227,26017,23860,22385,22412,25226,22419,23449,22359,23530,22440,23382,22339,22740,22412,22809,22420,23876,22833,22802,22403,30458,22752,25407,22678,25225,25400,25400,22403,22418,25225,25398,23879,30544,23753,22359,30488,23870,22935,22934,0,22370,23438,26,17,23648,23648,22441,23090,23648,22427,30438,22839,30,25503,25419,26008,23651,22355,25502,22355,23489,22803,22421,22749,22373,22406,23534,30460,23477,23477,25185,25398,25872,23527,23490,22409,22408,30659,22423,22341,25394,23762,98224,23532,22354,23140,30535,22381,23536,23536,22447,23618,22370,0,23879,22380,22380,22629,22629,22629,30457,24635,24635,23032,22630,22630,22630,22630,22629,22629,22629,22629,22630,22630,22629,23031,22629,22629,23051,23051,24589,25406,25405,23122,25224
ISLHD_2019_28,26018,302,22557,22553,21734,22261,301,22553,300,21729,34,31311,22556,23759,21692,31102,347,293,281,25748,26022,22534,338,352,25747,362,21660,303,22259,21072,22037,280,11970,352,23759,363,22559,23710,23752,343,31088,11984,25954,21004,25746,25937,25947,343,358,25746,25945,22553,31071,21728,300,31127,22544,21745,21744,22370,0,21647,22378,22369,22614,22614,379,21939,22614,367,31079,23716,22374,25897,25967,26013,22617,296,25896,296,22220,23753,364,11979,13,346,22263,31090,21689,21689,25828,25935,26395,22256,22221,349,348,31190,366,280,25569,21737,98362,22261,295,21159,31089,33,22265,22265,7004,22347,0,22370,22553,20,20,576,576,576,31094,23757,23757,22686,577,577,577,577,576,576,576,576,577,577,576,22685,576,576,22718,22718,23743,25953,25952,21325,25745
ISLHD_2019_29,26440,21636,22788,22784,21257,22425,21635,22784,21637,21254,21647,31281,22787,23604,235,30959,21689,21629,21622,25852,26445,22765,21672,21694,25851,21702,203,21636,22422,22051,22697,21619,21941,21694,23604,21703,22780,23585,23597,21685,31057,21955,25935,22338,25850,25928,25928,21685,21700,25850,25926,22784,30992,21253,21634,30976,22771,22157,22156,23438,21647,0,23444,23437,22855,22855,21719,22263,22855,21709,30998,23591,23442,25863,25949,26434,22858,21632,25862,21632,22384,23598,21704,21950,21650,21688,22426,31059,232,232,25801,25926,26431,22419,22385,21691,21690,31214,21706,21621,25691,21262,98304,22424,21631,22139,30813,21658,22426,22426,21941,22510,21647,23438,22784,21657,21657,21906,21906,21906,30991,23934,23934,22869,21907,21907,21907,21907,21906,21906,21906,21906,21907,21907,21906,22868,21906,21906,22827,22827,23823,25934,25933,22407,25849
ISLHD_2019_30,26021,22367,23891,23887,23767,23540,22366,23887,22367,23762,22378,30818,23892,22817,23488,30482,22415,22360,22350,25233,26023,23868,22393,22420,25232,22427,23455,22367,23536,22448,23390,22347,22748,22420,22817,22428,23884,22841,22810,22411,30464,22760,25415,22684,25231,25408,25408,22411,22426,25231,25406,23887,30550,23761,22367,30494,23878,22941,22940,26,22378,23444,0,19,23656,23656,22449,23098,23656,22435,30444,22847,38,25511,25427,26014,23659,22363,25510,22363,23495,22811,22429,22757,22381,22414,23540,30466,23483,23483,25191,25406,25880,23533,23496,22417,22416,30665,22431,22349,25402,23770,98229,23538,22362,23146,30541,22389,23542,23542,22455,23624,22378,26,23887,22388,22388,22637,22637,22637,30463,24643,24643,23038,22638,22638,22638,22638,22637,22637,22637,22637,22638,22638,22637,23037,22637,22637,23057,23057,24595,25414,25413,23130,25230
SG19_084_Sal,26014,22358,23882,23878,23758,23533,22357,23878,22358,23753,22369,30811,23883,22808,23481,30475,22406,22351,22341,25226,26016,23859,22384,22411,25225,22418,23448,22358,23529,22439,23381,22338,22739,22411,22808,22419,23875,22832,22801,22402,30457,22751,25406,22677,25224,25399,25399,22402,22417,25224,25397,23878,30543,23752,22358,30487,23869,22934,22933,17,22369,23437,19,0,23647,23647,22440,23089,23647,22426,30437,22838,29,25502,25418,26007,23650,22354,25501,22354,23488,22802,22420,22748,22372,22405,23533,30459,23476,23476,25184,25397,25871,23526,23489,22408,22407,30658,22422,22340,25393,23761,98223,23531,22353,23139,30534,22380,23535,23535,22446,23617,22369,17,23878,22379,22379,22628,22628,22628,30456,24634,24634,23031,22629,22629,22629,22629,22628,22628,22628,22628,22629,22629,22628,23030,22628,22628,23050,23050,24588,25405,25404,23121,25223
SG19_116.05_E.coli,26808,22606,23043,23039,22651,23071,22605,23039,22600,22646,22614,31523,23044,23757,22900,31323,22657,22598,22581,26214,26810,23020,22632,22662,26213,22669,22865,22606,23066,22540,22772,22582,22413,22662,23757,22670,23035,23691,23750,22653,31300,22427,26362,22497,26212,26355,26355,22653,22668,26212,26353,23039,31253,22645,22604,31336,23027,22465,22464,23648,22614,22855,23656,23647,0,0,22689,22993,0,22677,31151,23697,23654,26302,26374,26801,3,22601,26301,22601,23025,23751,22671,22422,22617,22656,23070,31302,22895,22895,26202,26353,26673,23063,23026,22659,22658,31328,22673,22580,26323,22654,98224,23068,22600,22737,31167,22625,23072,23072,22943,23154,22614,23648,23039,22624,22624,22879,22879,22879,31255,23830,23830,23333,22880,22880,22880,22880,22879,22879,22879,22879,22880,22880,22879,23332,22879,22879,23316,23316,23136,26361,26360,22603,26211
SG19_116_Sal,26808,22606,23043,23039,22651,23071,22605,23039,22600,22646,22614,31523,23044,23757,22900,31323,22657,22598,22581,26214,26810,23020,22632,22662,26213,22669,22865,22606,23066,22540,22772,22582,22413,22662,23757,22670,23035,23691,23750,22653,31300,22427,26362,22497,26212,26355,26355,22653,22668,26212,26353,23039,31253,22645,22604,31336,23027,22465,22464,23648,22614,22855,23656,23647,0,0,22689,22993,0,22677,31151,23697,23654,26302,26374,26801,3,22601,26301,22601,23025,23751,22671,22422,22617,22656,23070,31302,22895,22895,26202,26353,26673,23063,23026,22659,22658,31328,22673,22580,26323,22654,98224,23068,22600,22737,31167,22625,23072,23072,22943,23154,22614,23648,23039,22624,22624,22879,22879,22879,31255,23830,23830,23333,22880,22880,22880,22880,22879,22879,22879,22879,22880,22880,22879,23332,22879,22879,23316,23316,23136,26361,26360,22603,26211
SG19_171_Sal,26083,335,22628,22624,21803,22328,334,22624,333,21798,379,31377,22627,23828,21764,31168,138,326,314,25813,26087,22605,371,143,25812,265,21732,336,22326,21139,22106,313,12037,143,23828,266,22630,23779,23821,134,31153,12051,26019,21073,25811,26002,26012,134,149,25811,26010,22624,31137,21797,333,31193,22615,21809,21808,22441,379,21719,22449,22440,22689,22689,0,22011,22689,158,31141,23785,22445,25966,26032,26078,22692,329,25965,329,22287,23822,267,12046,382,137,22330,31155,21761,21761,25893,26000,26459,22323,22288,140,139,31259,269,313,25634,21806,98464,22328,328,21232,31156,392,22332,22332,7071,22414,379,22441,22624,389,389,455,455,455,31162,23821,23821,22752,456,456,456,456,455,455,455,455,456,456,455,22751,455,455,22784,22784,23833,26018,26017,21395,25810
SG19_182_Sal,26649,21931,23012,23008,22891,22935,21930,23008,21925,22884,21939,31518,23013,24025,22306,31253,21975,21924,21909,26199,26651,22989,21959,21984,26198,21990,22276,21932,22932,21699,22348,21908,21859,21980,24025,21991,23004,24007,24018,21975,30978,21873,26159,21250,26197,26152,26152,21975,21990,26197,26150,23008,31150,22883,21929,31267,22993,22310,22309,23090,21939,22263,23098,23089,22993,22993,22011,0,22993,21995,30939,24013,23096,26546,26171,26642,22996,21927,26545,21927,22893,24019,21992,21868,21942,21978,22936,30980,22303,22303,26014,26150,26756,22929,22894,21977,21976,31212,21994,21908,26018,22896,98612,22934,21926,21334,31171,21952,22938,22938,22086,23020,21939,23090,23008,21949,21949,22201,22201,22201,31091,24186,24186,22399,22202,22202,22202,22202,22201,22201,22201,22201,22202,22202,22201,22398,22201,22201,22409,22409,23913,26158,26157,21142,26196
SG19_233_Sal,26808,22606,23043,23039,22651,23071,22605,23039,22600,22646,22614,31523,23044,23757,22900,31323,22657,22598,22581,26214,26810,23020,22632,22662,26213,22669,22865,22606,23066,22540,22772,22582,22413,22662,23757,22670,23035,23691,23750,22653,31300,22427,26362,22497,26212,26355,26355,22653,22668,26212,26353,23039,31253,22645,22604,31336,23027,22465,22464,23648,22614,22855,23656,23647,0,0,22689,22993,0,22677,31151,23697,23654,26302,26374,26801,3,22601,26301,22601,23025,23751,22671,22422,22617,22656,23070,31302,22895,22895,26202,26353,26673,23063,23026,22659,22658,31328,22673,22580,26323,22654,98224,23068,22600,22737,31167,22625,23072,23072,22943,23154,22614,23648,23039,22624,22624,22879,22879,22879,31255,23830,23830,23333,22880,22880,22880,22880,22879,22879,22879,22879,22880,22880,22879,23332,22879,22879,23316,23316,23136,26361,26360,22603,26211
SG19_238_Sal,26074,323,22616,22612,21787,22315,322,22612,321,21782,367,31365,22615,23817,21754,31157,26,314,302,25803,26078,22593,359,67,25802,253,21722,324,22313,21127,22096,301,12025,47,23817,254,22618,23768,23810,62,31145,12039,26009,21061,25801,25992,26002,62,73,25801,26000,22612,31126,21781,321,31182,22603,21793,21792,22427,367,21709,22435,22426,22677,22677,158,21995,22677,0,31133,23774,22431,25954,26022,26069,22680,317,25953,317,22274,23811,255,12034,370,65,22317,31147,21751,21751,25882,25990,26451,22310,22275,28,43,31248,257,301,25627,21790,98454,22315,316,21221,31145,380,22319,22319,7059,22401,367,22427,22612,377,377,443,443,443,31151,23811,23811,22743,444,444,444,444,443,443,443,443,444,444,443,22742,443,443,22775,22775,23819,26008,26007,21385,25800
SG19_269_Sal,28333,31069,30841,30837,30753,30986,31068,30837,31065,30748,31079,17915,30840,30305,31034,18739,31113,31059,31048,29188,28337,30820,31095,31116,29187,31125,31010,31067,30981,30680,30868,31045,30928,31118,30305,31126,30833,30303,30298,31109,12707,30942,29194,30810,29186,29187,29187,31107,31122,29186,29185,30837,18530,30747,31065,18758,30822,30885,30884,30438,31079,30998,30444,30437,31151,31151,31141,30939,31151,31133,0,30309,30443,28993,29206,28328,31154,31062,28992,31062,30942,30299,31127,30935,31082,31112,30985,12709,31031,31031,28876,29185,28365,30978,30941,31115,31114,18912,31129,31047,29284,30755,97840,30981,31061,30971,19253,31092,30985,30985,31188,31062,31079,30438,30837,31089,31089,31330,31330,31330,18508,31172,31172,30718,31331,31331,31331,31331,31330,31330,31330,31330,31331,31331,31330,30717,31330,31330,30708,30708,31301,29193,29192,30784,29185
SG19_284_Sal,25293,23709,23821,23817,23819,23751,23708,23817,23709,23816,23716,30565,23822,361,23632,30310,23754,23701,23690,24303,25295,23798,23736,23761,24302,23767,23600,23707,23746,23143,23577,23687,23718,23759,361,23768,23813,20,354,23752,30408,23733,24680,23431,24301,24673,24673,23752,23767,24301,24671,23817,30444,23815,23709,30327,23806,23782,23781,22839,23716,23591,22847,22838,23697,23697,23785,24013,23697,23774,30309,0,22843,25042,24694,25286,23700,23704,25041,23704,23704,355,23769,23728,23719,23755,23750,30410,23629,23629,24718,24671,25466,23743,23705,23756,23755,30404,23771,23689,24859,23826,98088,23748,23703,23628,30411,23729,23752,23752,23934,23834,23716,22839,23817,23726,23726,23970,23970,23970,30310,24525,24525,23749,23971,23971,23971,23971,23970,23970,23970,23970,23971,23971,23970,23748,23970,23970,23768,23768,24920,24679,24678,23363,24300
SG19_288_Sal,26021,22363,23889,23885,23763,23538,22362,23885,22363,23758,22374,30818,23890,22813,23486,30481,22411,22356,22346,25231,26023,23866,22389,22416,25230,22423,23453,22363,23534,22444,23388,22343,22746,22416,22813,22424,23882,22837,22806,22407,30464,22758,25413,22684,25229,25406,25406,22407,22422,25229,25404,23885,30548,23757,22363,30493,23876,22941,22940,30,22374,23442,38,29,23654,23654,22445,23096,23654,22431,30443,22843,0,25509,25425,26014,23657,22359,25508,22359,23493,22807,22425,22755,22377,22410,23538,30466,23481,23481,25191,25404,25878,23531,23494,22413,22412,30665,22427,22345,25400,23766,98232,23536,22358,23144,30541,22385,23540,23540,22453,23622,22374,30,23885,22384,22384,22633,22633,22633,30462,24641,24641,23038,22634,22634,22634,22634,22633,22633,22633,22633,22634,22634,22633,23037,22633,22633,23057,23057,24593,25412,25411,23126,25228
SG19_292_Sal,22084,25882,26107,26103,26336,26032,25881,26103,25881,26330,25897,29202,26106,25029,25900,28918,25934,25877,25864,23827,22088,26084,25911,25939,23826,25946,25874,25880,26027,26077,26046,25865,25834,25939,25029,25947,26099,25036,25022,25930,29143,25848,23020,26130,23825,23015,23015,25930,25945,23825,23011,26103,29004,26329,25884,28932,26094,26094,26093,25503,25897,25863,25511,25502,26302,26302,25966,26546,26302,25954,28993,25042,25509,0,23034,22077,26305,25880,1,25880,25988,25023,25948,25843,25900,25933,26031,29145,25897,25897,22471,23013,22679,26024,25989,25936,25935,29050,25950,25863,23226,26342,97770,26029,25879,25976,28822,25910,26033,26033,26279,26107,25897,25503,26103,25907,25907,26155,26155,26155,29006,26607,26607,25860,26156,26156,26156,26156,26155,26155,26155,26155,26156,26156,26155,25859,26155,26155,25851,25851,26867,23019,23016,25946,23824
SG19_298_Sal,23691,25951,25706,25702,26330,25954,25952,25702,25954,26325,25967,29622,25705,24690,25989,29522,26002,25946,25936,23248,23697,25683,25982,26007,23247,26012,25961,25953,25949,25838,25798,25935,25865,26007,24690,26013,25698,24690,24683,25996,29302,25879,74,26008,23246,63,63,25996,26013,23246,61,25702,29380,26324,25953,29539,25688,26111,26110,25419,25967,25949,25427,25418,26374,26374,26032,26171,26374,26022,29206,24694,25425,23034,0,23686,26377,25949,23033,25949,25910,24684,26014,25872,25970,26001,25951,29304,25986,25986,22655,61,23907,25946,25911,26004,26003,29379,26016,25935,22101,26335,98353,25951,25948,26090,29183,25980,25955,25955,26134,26033,25967,25419,25702,25977,25977,26224,26224,26224,29418,26439,26439,25860,26225,26225,26225,26225,26224,26224,26224,26224,26225,26225,26224,25859,26224,26224,25848,25848,26684,73,72,25859,23245
SG19_327_Sal,33,26007,26214,26210,26713,26166,26006,26210,25999,26708,26013,28685,26213,25280,26478,28462,26049,25998,25985,24327,37,26193,26028,26054,24326,26061,26449,26005,26161,26251,26215,25982,26197,26054,25280,26062,26206,25282,25273,26045,28425,26211,23673,26307,24325,23666,23666,26045,26060,24325,23664,26210,28608,26707,26003,28479,26202,26409,26408,26008,26013,26434,26014,26007,26801,26801,26078,26642,26801,26069,28328,25286,26014,22077,23686,0,26804,26001,22076,26001,26118,25274,26063,26206,26016,26048,26165,28427,26475,26475,23445,23664,22632,26158,26119,26051,26050,28623,26065,25984,23575,26719,97959,26163,26000,26412,28572,26026,26167,26167,26288,26243,26013,26008,26210,26023,26023,26264,26264,26264,28391,26666,26666,25944,26265,26265,26265,26265,26264,26264,26264,26264,26265,26265,26264,25943,26264,26264,25936,25936,27142,23672,23671,26044,24324
SG19_334_Sal,26811,22609,23046,23042,22654,23074,22608,23042,22603,22649,22617,31526,23047,23760,22903,31326,22660,22601,22584,26217,26813,23023,22635,22665,26216,22672,22868,22609,23069,22543,22775,22585,22416,22665,23760,22673,23038,23694,23753,22656,31303,22430,26365,22500,26215,26358,26358,22656,22671,26215,26356,23042,31256,22648,22607,31339,23030,22468,22467,23651,22617,22858,23659,23650,3,3,22692,22996,3,22680,31154,23700,23657,26305,26377,26804,0,22604,26304,22604,23028,23754,22674,22425,22620,22659,23073,31305,22898,22898,26205,26356,26676,23066,23029,22662,22661,31331,22676,22583,26326,22657,98227,23071,22603,22740,31170,22628,23075,23075,22946,23157,22617,23651,23042,22627,22627,22882,22882,22882,31258,23833,23833,23336,22883,22883,22883,22883,22882,22882,22882,22882,22883,22883,22882,23335,22882,22882,23319,23319,23139,26364,26363,22606,26214
SG19_380_Sal,26006,42,22541,22537,21716,22241,41,22537,196,21711,296,31289,22540,23747,21677,31088,297,5,177,25732,26010,22518,288,302,25731,310,21645,43,22239,21058,22023,176,11955,302,23747,311,22543,23698,23740,293,31069,11969,25936,20987,25730,25919,25929,293,308,25730,25927,22537,31052,21710,40,31113,22528,21725,21724,22355,296,21632,22363,22354,22601,22601,329,21927,22601,317,31062,23704,22359,25880,25949,26001,22604,0,25879,0,22200,23741,312,11964,299,296,22243,31071,21674,21674,25811,25917,26376,22236,22201,299,298,31174,314,176,25552,21719,98375,22241,1,21148,31074,309,22245,22245,6984,22327,296,22355,22537,306,306,526,526,526,31081,23739,23739,22672,527,527,527,527,526,526,526,526,527,527,526,22671,526,526,22704,22704,23752,25935,25934,21305,25729
SG19_397_Sal,22083,25881,26106,26102,26335,26031,25880,26102,25880,26329,25896,29201,26105,25028,25899,28917,25933,25876,25863,23826,22087,26083,25910,25938,23825,25945,25873,25879,26026,26078,26045,25864,25833,25938,25028,25946,26098,25035,25021,25929,29142,25847,23019,26129,23824,23014,23014,25929,25944,23824,23010,26102,29003,26328,25883,28931,26093,26093,26092,25502,25896,25862,25510,25501,26301,26301,25965,26545,26301,25953,28992,25041,25508,1,23033,22076,26304,25879,0,25879,25987,25022,25947,25842,25899,25932,26030,29144,25896,25896,22470,23012,22678,26023,25988,25935,25934,29049,25949,25862,23225,26341,97769,26028,25878,25975,28821,25909,26032,26032,26278,26106,25896,25502,26102,25906,25906,26154,26154,26154,29005,26606,26606,25859,26155,26155,26155,26155,26154,26154,26154,26154,26155,26155,26154,25858,26154,26154,25850,25850,26866,23018,23015,25945,23823
SG19_400_Sal,26006,42,22541,22537,21716,22241,41,22537,196,21711,296,31289,22540,23747,21677,31088,297,5,177,25732,26010,22518,288,302,25731,310,21645,43,22239,21058,22023,176,11955,302,23747,311,22543,23698,23740,293,31069,11969,25936,20987,25730,25919,25929,293,308,25730,25927,22537,31052,21710,40,31113,22528,21725,21724,22355,296,21632,22363,22354,22601,22601,329,21927,22601,317,31062,23704,22359,25880,25949,26001,22604,0,25879,0,22200,23741,312,11964,299,296,22243,31071,21674,21674,25811,25917,26376,22236,22201,299,298,31174,314,176,25552,21719,98375,22241,1,21148,31074,309,22245,22245,6984,22327,296,22355,22537,306,306,526,526,526,31081,23739,23739,22672,527,527,527,527,526,526,526,526,527,527,526,22671,526,526,22704,22704,23752,25935,25934,21305,25729
